httpOpen,tcpWindowSize,zeroWindow,duration,resPacketSplit,label,srcIp,dstIp,srcPort,dstPort
No,,,,,NORMAL,142.38.71.105,131.73.109.126,45050,80
Yes,1959.0,,,,NORMAL,68.243.30.189,119.31.200.10,58826,43620
Yes,1813.0,,,,NORMAL,171.143.98.73,136.225.192.60,62141,80
Yes,1922.0,,,,NORMAL,60.84.171.211,60.174.194.2,4651,80
Yes,1890.0,,,,NORMAL,26.71.206.4,187.143.54.173,11517,80
Yes,439.0,7.0,,,NORMAL,30.46.243.1,144.118.119.109,55373,80
Yes,1058.0,,,,NORMAL,222.213.133.158,209.31.2.163,42956,80
Yes,461.0,16.0,557.0,1422.0,ABNORMAL,178.248.242.16,12.206.121.156,37531,80
Yes,1928.0,,,,NORMAL,130.49.123.64,157.85.94.181,36618,80
Yes,1348.0,,,,NORMAL,126.239.190.3,90.76.117.138,41318,80
Yes,1355.0,,,,NORMAL,187.69.4.132,130.190.194.204,47341,80
Yes,1625.0,,,,NORMAL,14.87.231.125,243.230.32.243,55935,80
Yes,1247.0,,,,NORMAL,223.120.226.220,96.207.231.11,48419,80
No,,,,,NORMAL,181.229.77.29,138.74.162.0,15090,80
Yes,1164.0,,,,NORMAL,47.152.183.27,236.139.110.135,55162,80
Yes,1157.0,,,,NORMAL,216.84.132.144,207.62.149.180,18966,80
Yes,1985.0,,,,NORMAL,31.18.142.207,89.230.52.215,57911,80
Yes,872.0,1.0,,,NORMAL,5.116.60.67,194.100.11.59,52225,80
Yes,1562.0,,,,NORMAL,186.41.119.26,10.15.181.163,1263,80
Yes,1152.0,,,,NORMAL,36.4.81.89,49.83.41.48,58075,80
Yes,1408.0,,,,NORMAL,242.120.31.150,45.76.2.224,20835,80
Yes,1672.0,,,,NORMAL,140.222.8.231,20.89.214.86,24111,80
Yes,1816.0,,,,NORMAL,142.70.181.201,68.13.149.228,37282,80
Yes,929.0,15.0,77.0,,NORMAL,2.73.174.146,133.23.175.111,17075,80
Yes,212.0,13.0,140.0,,NORMAL,187.55.69.231,155.82.47.94,6312,80
Yes,1471.0,,,,NORMAL,33.28.240.144,80.94.101.206,30503,80
Yes,1605.0,,,,NORMAL,64.45.219.12,236.85.71.222,34220,10471
Yes,1626.0,,,,NORMAL,86.86.105.45,38.17.116.101,49843,80
Yes,538.0,1.0,,,NORMAL,177.94.3.83,150.35.136.125,31852,80
Yes,477.0,8.0,,,NORMAL,63.17.35.163,114.206.89.157,59171,80
Yes,1578.0,,,,NORMAL,61.165.192.34,149.160.101.69,45502,80
Yes,1807.0,,,,NORMAL,154.94.139.24,32.72.81.54,29348,80
Yes,384.0,5.0,,,NORMAL,155.188.13.195,161.90.187.12,54589,80
Yes,858.0,17.0,273.0,,NORMAL,101.114.52.107,64.36.238.48,3760,80
Yes,1640.0,,,,NORMAL,204.117.22.2,248.81.184.202,52863,80
No,,,,,NORMAL,74.28.23.227,235.238.210.71,32803,80
Yes,542.0,16.0,292.0,,NORMAL,88.156.151.153,180.247.45.60,27342,80
Yes,1460.0,,,,NORMAL,129.174.205.171,186.211.203.107,58612,80
Yes,1567.0,,,,NORMAL,109.145.1.204,97.8.49.113,20989,80
Yes,285.0,11.0,540.0,1102.0,ABNORMAL,61.252.244.61,15.24.10.136,50115,80
Yes,1123.0,,,,NORMAL,107.39.109.85,88.161.64.120,34149,80
Yes,300.0,4.0,,,NORMAL,88.161.113.154,16.36.96.227,57629,80
Yes,366.0,0.0,,,NORMAL,186.180.163.134,174.159.54.70,30687,80
Yes,781.0,19.0,105.0,,NORMAL,63.200.161.202,13.139.106.21,60998,80
Yes,143.0,5.0,,,NORMAL,234.14.92.123,39.199.218.180,38592,80
Yes,677.0,6.0,,,NORMAL,161.83.245.131,8.19.163.91,36404,80
Yes,1607.0,,,,NORMAL,171.5.184.232,143.87.100.107,58405,80
Yes,1968.0,,,,NORMAL,252.9.149.218,166.197.95.23,9778,80
Yes,324.0,15.0,458.0,1694.0,ABNORMAL,8.171.150.37,13.3.130.130,44868,80
Yes,1968.0,,,,NORMAL,157.52.135.44,211.181.91.43,49143,80
Yes,467.0,7.0,,,NORMAL,109.109.205.57,26.86.156.6,43191,80
Yes,931.0,16.0,549.0,1815.0,ABNORMAL,10.186.34.18,213.86.158.125,40929,80
Yes,1324.0,,,,NORMAL,44.62.10.80,41.168.56.227,50614,80
Yes,1230.0,,,,NORMAL,189.119.98.59,97.159.146.214,39555,80
Yes,692.0,6.0,,,NORMAL,64.114.231.45,250.84.13.43,40540,80
Yes,1916.0,,,,NORMAL,144.8.127.220,12.225.88.152,25139,80
Yes,1064.0,,,,NORMAL,148.35.70.134,154.171.213.174,64547,80
Yes,1294.0,,,,NORMAL,168.5.193.72,136.11.98.226,43796,80
Yes,1492.0,,,,NORMAL,51.238.210.146,237.50.185.189,17654,80
Yes,564.0,9.0,,,NORMAL,226.150.99.177,180.121.22.0,63596,80
Yes,315.0,10.0,,,NORMAL,184.124.22.187,164.205.242.108,20692,80
Yes,368.0,13.0,98.0,,NORMAL,47.195.36.116,126.184.235.172,58126,80
Yes,1437.0,,,,NORMAL,138.22.172.116,57.30.14.126,57090,80
Yes,375.0,0.0,,,NORMAL,72.7.125.101,91.207.29.26,27953,80
Yes,148.0,6.0,,,NORMAL,213.123.250.48,117.170.14.151,61910,80
Yes,1410.0,,,,NORMAL,74.47.97.114,91.123.95.55,18562,80
Yes,345.0,9.0,,,NORMAL,80.43.26.18,58.37.152.66,36540,80
Yes,845.0,17.0,491.0,289.0,NORMAL,218.41.208.58,43.13.121.217,40955,80
Yes,817.0,0.0,,,NORMAL,80.62.209.155,145.226.48.137,16363,80
Yes,1931.0,,,,NORMAL,109.191.65.131,59.32.94.238,13429,80
No,,,,,NORMAL,223.44.253.50,74.129.150.141,8885,80
Yes,593.0,4.0,,,NORMAL,113.235.234.232,52.139.96.66,24134,80
Yes,1519.0,,,,NORMAL,60.194.83.84,92.6.60.156,30847,80
Yes,166.0,6.0,,,NORMAL,173.212.135.105,223.50.96.157,34774,80
Yes,825.0,18.0,594.0,510.0,NORMAL,178.176.146.86,244.97.211.152,43473,80
Yes,1505.0,,,,NORMAL,71.196.57.20,17.123.31.38,35083,80
Yes,248.0,13.0,272.0,,NORMAL,108.31.70.1,156.104.77.123,64232,80
Yes,568.0,1.0,,,NORMAL,124.73.117.13,30.101.239.218,18913,80
Yes,1329.0,,,,NORMAL,175.141.134.251,158.92.96.28,54847,80
No,,,,,NORMAL,15.36.126.197,156.132.98.255,28165,80
Yes,1324.0,,,,NORMAL,24.123.112.140,160.165.198.204,62267,80
Yes,1021.0,6.0,,,NORMAL,133.166.0.43,57.249.248.255,49772,80
Yes,774.0,4.0,,,NORMAL,164.10.45.50,206.171.189.154,11614,80
Yes,268.0,2.0,,,NORMAL,160.184.131.54,14.127.167.108,63083,80
Yes,600.0,3.0,,,NORMAL,189.236.98.24,122.179.155.223,46361,80
Yes,753.0,6.0,,,NORMAL,60.203.128.101,140.24.148.254,54202,80
Yes,1950.0,,,,NORMAL,126.130.47.221,250.9.200.37,43045,80
Yes,1301.0,,,,NORMAL,182.149.50.72,210.128.236.130,4000,80
Yes,341.0,15.0,107.0,,NORMAL,156.92.37.70,55.145.41.50,41081,80
Yes,2000.0,,,,NORMAL,139.32.60.116,252.203.211.210,16260,80
Yes,1280.0,,,,NORMAL,213.18.63.239,10.146.164.250,14026,80
Yes,130.0,16.0,418.0,357.0,NORMAL,216.164.1.187,30.193.60.185,65434,80
Yes,191.0,6.0,,,NORMAL,3.68.227.194,112.249.28.251,39723,80
Yes,1524.0,,,,NORMAL,125.16.120.225,230.221.90.37,36041,80
Yes,1293.0,,,,NORMAL,101.116.41.42,227.209.62.30,50161,80
Yes,273.0,8.0,,,NORMAL,211.200.37.4,71.133.17.5,36214,80
Yes,1718.0,,,,NORMAL,212.102.158.249,206.223.132.126,6400,80
Yes,1871.0,,,,NORMAL,160.112.31.162,193.80.91.20,1824,80
Yes,1792.0,,,,NORMAL,20.128.192.108,240.73.192.9,27457,80
Yes,926.0,14.0,300.0,,NORMAL,80.85.202.85,117.137.190.72,27398,80
Yes,754.0,12.0,152.0,,NORMAL,168.114.2.115,190.94.216.133,34757,80
Yes,1359.0,,,,NORMAL,75.149.4.237,17.135.112.169,29593,80
Yes,1710.0,,,,NORMAL,62.26.13.175,105.102.117.53,60490,80
Yes,204.0,18.0,279.0,,NORMAL,136.242.75.207,122.22.37.176,9198,80
Yes,852.0,19.0,93.0,,NORMAL,207.216.204.156,141.127.24.3,41610,80
No,,,,,NORMAL,185.229.251.55,183.178.238.137,25432,80
Yes,1933.0,,,,NORMAL,135.14.205.214,119.213.220.184,46953,80
Yes,1287.0,,,,NORMAL,130.104.121.118,97.36.18.177,12788,37264
Yes,979.0,4.0,,,NORMAL,142.244.54.172,106.225.64.190,42253,80
Yes,1141.0,,,,NORMAL,84.120.98.188,101.156.233.211,45718,80
Yes,1413.0,,,,NORMAL,64.62.91.255,218.5.102.177,58131,80
Yes,568.0,5.0,,,NORMAL,163.18.111.53,112.252.172.222,64226,80
Yes,1260.0,,,,NORMAL,241.2.251.167,103.230.250.191,60818,80
Yes,812.0,20.0,562.0,258.0,NORMAL,250.187.172.62,186.255.113.94,21230,80
Yes,540.0,16.0,440.0,1707.0,ABNORMAL,255.88.42.154,0.12.212.232,26921,80
Yes,655.0,0.0,,,NORMAL,29.105.123.200,22.59.188.61,46476,80
Yes,978.0,0.0,,,NORMAL,111.236.133.222,50.152.223.179,31078,80
Yes,503.0,13.0,559.0,1987.0,ABNORMAL,127.168.105.62,158.7.56.143,62005,80
Yes,287.0,18.0,559.0,141.0,NORMAL,50.90.136.102,39.163.74.30,53364,80
Yes,1162.0,,,,NORMAL,203.112.190.159,102.127.238.214,60314,80
Yes,858.0,17.0,110.0,,NORMAL,244.128.75.213,250.234.87.41,23290,80
Yes,1568.0,,,,NORMAL,240.169.175.1,118.162.30.140,18725,80
Yes,1204.0,,,,NORMAL,43.208.140.14,158.51.51.254,6343,80
Yes,1851.0,,,,NORMAL,180.252.1.88,103.144.136.232,55187,80
Yes,1670.0,,,,NORMAL,244.251.160.128,245.118.61.185,55860,80
Yes,473.0,9.0,,,NORMAL,46.250.231.187,105.121.54.227,17233,80
Yes,924.0,5.0,,,NORMAL,131.191.63.184,88.207.24.162,38196,80
Yes,1447.0,,,,NORMAL,70.143.2.240,99.28.161.91,17534,80
Yes,1401.0,,,,NORMAL,155.204.40.247,85.52.115.42,3913,80
Yes,1024.0,6.0,,,NORMAL,203.186.200.67,103.27.0.175,47199,80
Yes,1390.0,,,,NORMAL,42.64.8.158,48.26.51.170,9574,80
Yes,327.0,17.0,566.0,732.0,NORMAL,11.212.52.214,64.175.163.198,14407,80
Yes,206.0,1.0,,,NORMAL,201.15.70.157,219.254.78.95,51813,80
Yes,751.0,7.0,,,NORMAL,83.113.105.110,135.103.28.29,24324,80
Yes,938.0,9.0,,,NORMAL,179.160.227.63,111.122.110.241,16164,80
Yes,1194.0,,,,NORMAL,116.149.69.81,167.177.66.175,17829,80
Yes,889.0,6.0,,,NORMAL,67.69.168.4,46.96.19.252,39534,80
Yes,614.0,12.0,49.0,,NORMAL,165.22.224.33,169.247.100.91,62824,80
Yes,1647.0,,,,NORMAL,142.152.128.1,227.72.118.233,54614,80
Yes,856.0,9.0,,,NORMAL,126.197.215.87,89.53.98.86,53053,80
Yes,1282.0,,,,NORMAL,1.206.3.26,99.127.215.76,8514,80
Yes,1619.0,,,,NORMAL,157.110.209.35,191.85.97.108,22159,80
Yes,230.0,10.0,,,NORMAL,11.50.79.107,110.239.233.151,63114,80
Yes,627.0,20.0,135.0,,NORMAL,207.74.212.80,242.95.96.174,39920,80
Yes,1204.0,,,,NORMAL,135.197.216.125,46.90.233.152,12391,80
Yes,84.0,15.0,447.0,459.0,NORMAL,127.4.106.235,96.38.66.210,39312,80
Yes,1402.0,,,,NORMAL,14.176.55.80,161.20.181.75,52068,15899
Yes,630.0,15.0,493.0,1995.0,ABNORMAL,150.220.88.53,92.20.67.202,41913,80
Yes,1956.0,,,,NORMAL,53.36.218.205,199.251.118.188,30807,80
Yes,374.0,3.0,,,NORMAL,145.80.20.221,50.191.118.107,60801,80
Yes,1154.0,,,,NORMAL,12.81.108.68,100.34.189.206,5132,80
Yes,887.0,5.0,,,NORMAL,131.43.21.131,245.52.200.236,24099,80
Yes,1122.0,,,,NORMAL,138.193.113.142,57.13.58.232,27158,80
Yes,1049.0,,,,NORMAL,17.16.183.217,95.205.252.47,61821,80
Yes,654.0,18.0,565.0,259.0,NORMAL,10.63.139.225,20.246.2.30,55421,80
Yes,1522.0,,,,NORMAL,210.82.47.69,90.247.20.157,34079,80
Yes,1310.0,,,,NORMAL,38.135.50.148,47.117.180.88,9124,80
Yes,599.0,4.0,,,NORMAL,101.190.222.102,228.117.14.42,33512,80
Yes,1.0,8.0,,,NORMAL,168.163.208.210,110.46.27.114,9329,80
Yes,663.0,12.0,375.0,150.0,NORMAL,228.160.92.227,181.182.119.168,16034,80
Yes,115.0,8.0,,,NORMAL,245.203.152.94,95.108.81.237,37010,1525
Yes,740.0,7.0,,,NORMAL,53.166.225.171,84.59.134.119,12931,80
Yes,1257.0,,,,NORMAL,127.253.200.62,179.84.253.110,19472,80
Yes,1092.0,,,,NORMAL,162.211.155.140,132.253.39.94,40852,80
Yes,206.0,9.0,,,NORMAL,0.67.134.190,238.24.19.169,11121,80
Yes,1429.0,,,,NORMAL,35.3.169.140,233.249.222.109,56628,80
Yes,1831.0,,,,NORMAL,78.244.73.180,165.34.240.92,31857,80
Yes,1672.0,,,,NORMAL,197.191.154.87,4.230.250.103,7507,80
Yes,654.0,7.0,,,NORMAL,173.130.181.219,96.177.135.62,17351,80
Yes,103.0,2.0,,,NORMAL,139.250.9.97,161.75.166.252,64370,80
Yes,817.0,20.0,583.0,1768.0,ABNORMAL,15.254.99.193,30.202.209.87,6775,80
Yes,1143.0,,,,NORMAL,81.163.220.100,126.65.57.173,17084,80
Yes,227.0,17.0,143.0,,NORMAL,185.97.103.147,163.228.10.242,56302,80
Yes,504.0,4.0,,,NORMAL,93.144.86.154,129.186.25.122,45969,80
Yes,1306.0,,,,NORMAL,34.187.25.91,108.189.220.249,3219,80
Yes,1511.0,,,,NORMAL,158.120.187.201,249.74.160.230,61182,80
Yes,615.0,13.0,352.0,357.0,NORMAL,226.15.242.197,11.26.112.106,9487,80
Yes,1466.0,,,,NORMAL,158.239.53.208,254.56.83.6,51330,80
Yes,939.0,0.0,,,NORMAL,161.142.26.139,68.233.224.153,4276,80
Yes,774.0,12.0,316.0,1758.0,ABNORMAL,150.245.183.79,32.215.31.207,41558,80
Yes,791.0,13.0,344.0,887.0,NORMAL,155.201.87.2,63.111.25.135,17024,36212
Yes,1300.0,,,,NORMAL,187.187.61.25,200.161.248.77,39943,80
Yes,940.0,7.0,,,NORMAL,205.141.54.49,216.197.165.124,20924,80
Yes,351.0,19.0,139.0,,NORMAL,179.81.196.215,66.179.126.64,34396,80
Yes,716.0,1.0,,,NORMAL,73.100.255.48,49.124.252.174,42955,80
Yes,1174.0,,,,NORMAL,114.92.241.82,198.36.104.185,9621,80
Yes,169.0,18.0,128.0,,NORMAL,167.140.164.68,27.67.221.201,40612,80
Yes,1813.0,,,,NORMAL,116.128.44.84,248.123.192.83,53585,80
Yes,99.0,7.0,,,NORMAL,170.137.120.34,254.41.179.0,28319,56727
Yes,679.0,6.0,,,NORMAL,235.225.111.38,160.74.107.215,25641,80
Yes,660.0,11.0,486.0,1132.0,ABNORMAL,186.80.209.184,101.152.150.177,22918,61095
Yes,163.0,17.0,338.0,1007.0,ABNORMAL,0.66.7.45,109.242.76.165,48268,80
Yes,36.0,16.0,312.0,1439.0,ABNORMAL,166.69.9.156,71.231.158.58,37562,80
Yes,176.0,15.0,523.0,1068.0,ABNORMAL,50.226.152.162,235.84.219.26,41595,56430
Yes,448.0,17.0,520.0,1559.0,ABNORMAL,71.29.60.225,53.150.57.239,14063,80
Yes,409.0,20.0,447.0,1449.0,ABNORMAL,252.29.40.95,117.255.168.23,14493,80
Yes,985.0,14.0,571.0,1700.0,ABNORMAL,51.162.231.128,169.15.225.125,20374,80
Yes,136.0,16.0,441.0,1816.0,ABNORMAL,94.200.205.196,15.126.234.204,52882,80
Yes,804.0,16.0,476.0,1307.0,ABNORMAL,242.230.83.158,255.140.114.155,9622,80
Yes,953.0,18.0,577.0,1574.0,ABNORMAL,247.185.98.87,95.124.116.141,44615,80
Yes,245.0,16.0,342.0,1977.0,ABNORMAL,217.140.154.226,53.212.189.120,22699,80
Yes,370.0,11.0,468.0,1525.0,ABNORMAL,153.140.125.154,145.45.203.132,22885,13417
Yes,600.0,19.0,455.0,1726.0,ABNORMAL,167.159.138.137,158.100.67.252,22910,80
Yes,745.0,11.0,447.0,1225.0,ABNORMAL,90.222.5.203,147.5.170.127,9682,80
Yes,959.0,14.0,313.0,1754.0,ABNORMAL,240.99.133.230,62.164.96.121,39047,80
Yes,786.0,11.0,467.0,1776.0,ABNORMAL,120.65.111.122,101.211.86.147,59145,80
Yes,283.0,20.0,329.0,1923.0,ABNORMAL,238.227.157.46,43.134.151.8,22178,8522
Yes,186.0,20.0,517.0,1147.0,ABNORMAL,64.19.38.56,55.148.50.41,20961,80
Yes,416.0,14.0,527.0,1712.0,ABNORMAL,196.89.36.207,89.102.94.146,23418,80
Yes,141.0,13.0,590.0,1891.0,ABNORMAL,250.244.12.102,199.235.229.94,39502,80
Yes,465.0,16.0,563.0,1393.0,ABNORMAL,42.127.8.209,162.99.180.176,18007,80
Yes,466.0,20.0,347.0,1598.0,ABNORMAL,223.212.48.50,191.103.248.231,23198,80
Yes,120.0,20.0,573.0,1340.0,ABNORMAL,236.119.185.59,8.215.17.32,61565,80
Yes,52.0,20.0,565.0,1938.0,ABNORMAL,166.254.167.164,228.161.11.236,23448,80
Yes,311.0,11.0,535.0,1616.0,ABNORMAL,68.213.181.155,102.72.96.234,10311,80
Yes,820.0,15.0,494.0,1413.0,ABNORMAL,248.147.18.59,216.85.158.7,30772,80
Yes,1020.0,19.0,303.0,1219.0,ABNORMAL,243.124.202.65,207.170.118.39,32948,80
Yes,444.0,19.0,396.0,1070.0,ABNORMAL,235.11.1.33,26.59.77.71,43165,80
Yes,468.0,19.0,316.0,1626.0,ABNORMAL,210.215.210.100,61.116.163.249,54947,80
Yes,823.0,18.0,550.0,1096.0,ABNORMAL,209.64.10.130,196.185.89.6,48227,80
Yes,567.0,16.0,479.0,1868.0,ABNORMAL,196.190.66.92,209.104.185.55,52311,80
Yes,1006.0,12.0,503.0,1786.0,ABNORMAL,133.249.50.40,48.7.8.16,19535,80
Yes,595.0,17.0,343.0,1327.0,ABNORMAL,133.172.81.103,220.62.184.144,36771,80
Yes,894.0,16.0,566.0,1411.0,ABNORMAL,230.199.28.11,162.240.225.250,58209,80
Yes,193.0,19.0,575.0,1312.0,ABNORMAL,236.200.8.235,163.169.153.19,54095,44424
Yes,664.0,11.0,324.0,1241.0,ABNORMAL,44.162.192.153,121.109.209.185,55321,80
Yes,510.0,13.0,437.0,1657.0,ABNORMAL,222.102.6.106,116.81.47.223,61674,80
Yes,956.0,12.0,333.0,1545.0,ABNORMAL,73.165.99.83,120.243.101.80,25285,80
Yes,189.0,13.0,303.0,1780.0,ABNORMAL,1.46.119.253,242.31.148.45,8603,80
Yes,685.0,11.0,384.0,1350.0,ABNORMAL,144.69.36.241,156.99.188.84,6373,80
Yes,163.0,16.0,374.0,1833.0,ABNORMAL,239.169.188.123,255.127.194.95,23380,80
Yes,699.0,19.0,465.0,1172.0,ABNORMAL,103.70.95.136,243.11.236.133,57306,80
Yes,330.0,17.0,321.0,1855.0,ABNORMAL,49.202.158.35,224.253.103.195,17746,80
Yes,807.0,14.0,494.0,1615.0,ABNORMAL,36.4.139.107,2.153.128.216,53952,80
Yes,956.0,12.0,459.0,1921.0,ABNORMAL,65.177.188.60,123.240.126.122,25019,61440
Yes,606.0,12.0,495.0,1679.0,ABNORMAL,79.55.0.80,82.70.179.15,47894,80
Yes,38.0,20.0,557.0,1472.0,ABNORMAL,147.143.124.208,220.129.208.110,41272,80
Yes,979.0,15.0,301.0,1374.0,ABNORMAL,166.251.17.217,223.123.119.95,23019,80
Yes,922.0,19.0,467.0,1873.0,ABNORMAL,4.38.247.154,37.8.128.247,9640,80
Yes,619.0,11.0,443.0,1548.0,ABNORMAL,100.113.36.111,244.203.13.108,38517,80
Yes,747.0,17.0,395.0,1189.0,ABNORMAL,215.39.217.228,208.47.247.144,20777,80
Yes,279.0,13.0,325.0,1877.0,ABNORMAL,35.148.85.174,2.176.111.208,41414,80
Yes,489.0,11.0,486.0,1761.0,ABNORMAL,177.204.141.9,5.0.141.94,2092,80
Yes,371.0,15.0,449.0,1294.0,ABNORMAL,179.170.88.158,234.243.190.180,33026,80
Yes,508.0,12.0,368.0,1581.0,ABNORMAL,112.225.152.91,162.6.39.45,44920,80
Yes,860.0,14.0,325.0,1129.0,ABNORMAL,182.90.185.62,223.113.17.48,19478,80
Yes,681.0,11.0,503.0,1874.0,ABNORMAL,96.58.32.204,153.53.85.199,35133,80
Yes,152.0,20.0,508.0,1329.0,ABNORMAL,83.163.48.202,84.9.101.131,30252,80
Yes,505.0,14.0,486.0,1555.0,ABNORMAL,40.136.242.202,3.210.129.70,24530,80
Yes,250.0,15.0,384.0,1544.0,ABNORMAL,181.164.241.120,158.213.232.135,44938,80
Yes,39.0,18.0,542.0,1322.0,ABNORMAL,238.189.254.8,251.55.10.243,15178,80
Yes,255.0,17.0,473.0,1238.0,ABNORMAL,28.101.98.81,102.21.13.73,44011,80
Yes,542.0,14.0,408.0,1606.0,ABNORMAL,165.95.21.214,41.195.175.27,38939,80
Yes,385.0,17.0,325.0,1364.0,ABNORMAL,19.45.254.207,179.147.225.10,37121,80
Yes,315.0,11.0,569.0,1322.0,ABNORMAL,58.17.96.31,232.3.56.84,23881,80
Yes,696.0,20.0,515.0,1352.0,ABNORMAL,135.216.39.204,17.38.168.211,49742,80
Yes,147.0,16.0,399.0,1172.0,ABNORMAL,254.140.200.99,36.233.221.49,39751,80
Yes,833.0,11.0,353.0,1511.0,ABNORMAL,86.254.137.129,255.243.46.77,61253,80
Yes,97.0,11.0,433.0,1320.0,ABNORMAL,184.98.194.114,37.69.240.112,12953,80
Yes,745.0,12.0,583.0,1320.0,ABNORMAL,211.104.94.245,34.43.24.196,27885,80
Yes,59.0,19.0,479.0,1779.0,ABNORMAL,80.253.68.232,27.77.112.98,40005,80
Yes,927.0,18.0,330.0,1711.0,ABNORMAL,132.167.108.212,192.63.36.181,59588,80
Yes,781.0,11.0,391.0,1717.0,ABNORMAL,234.91.86.206,147.170.105.204,31966,80
Yes,432.0,18.0,472.0,1035.0,ABNORMAL,21.251.80.187,12.61.166.97,9946,80
Yes,177.0,19.0,325.0,1736.0,ABNORMAL,225.217.240.174,152.11.228.6,48799,80
Yes,891.0,15.0,394.0,1467.0,ABNORMAL,249.197.224.45,29.237.55.198,9607,80
Yes,966.0,11.0,330.0,1576.0,ABNORMAL,200.112.254.28,69.159.12.68,28401,80
Yes,917.0,20.0,493.0,1950.0,ABNORMAL,34.132.25.108,177.18.172.97,18382,80
Yes,553.0,17.0,564.0,1722.0,ABNORMAL,248.12.98.42,205.104.6.155,62371,80
Yes,672.0,18.0,533.0,1693.0,ABNORMAL,183.219.112.28,26.51.141.223,18266,80
Yes,319.0,16.0,400.0,1706.0,ABNORMAL,90.3.82.114,35.37.229.74,38055,80
Yes,699.0,19.0,597.0,1595.0,ABNORMAL,41.63.39.169,108.255.170.145,64065,80
Yes,247.0,11.0,390.0,1138.0,ABNORMAL,82.135.214.217,217.63.155.235,59667,80
Yes,357.0,11.0,574.0,1309.0,ABNORMAL,112.83.129.154,219.20.189.129,15826,80
Yes,649.0,13.0,563.0,1633.0,ABNORMAL,88.19.148.116,8.67.51.135,46228,80
Yes,194.0,18.0,324.0,1977.0,ABNORMAL,229.77.67.74,189.237.91.253,50625,80
Yes,530.0,15.0,459.0,1400.0,ABNORMAL,1.197.152.249,213.127.2.168,9014,80
Yes,717.0,16.0,529.0,1368.0,ABNORMAL,242.211.11.51,11.238.65.204,35477,7204
Yes,146.0,18.0,596.0,1400.0,ABNORMAL,194.236.154.138,231.194.213.238,43565,80
Yes,592.0,20.0,501.0,1761.0,ABNORMAL,247.44.168.14,2.41.63.218,41869,80
Yes,861.0,13.0,556.0,1643.0,ABNORMAL,206.146.24.179,168.9.3.98,47705,80
Yes,558.0,13.0,426.0,1722.0,ABNORMAL,85.76.210.46,38.224.235.63,10557,80
Yes,306.0,13.0,579.0,1042.0,ABNORMAL,225.146.171.14,115.116.102.2,19987,80
Yes,188.0,17.0,381.0,1570.0,ABNORMAL,248.57.135.198,18.22.162.52,52581,80
Yes,893.0,11.0,346.0,1522.0,ABNORMAL,204.217.5.152,6.188.38.56,42167,80
Yes,395.0,13.0,482.0,1632.0,ABNORMAL,197.81.177.213,159.28.151.167,3184,41134
Yes,695.0,18.0,538.0,1964.0,ABNORMAL,2.182.124.60,118.208.4.101,12128,80
Yes,953.0,14.0,572.0,1538.0,ABNORMAL,197.184.179.224,2.210.249.169,53186,80
Yes,488.0,14.0,355.0,1272.0,ABNORMAL,6.64.2.42,35.41.221.52,6547,80
Yes,828.0,11.0,362.0,1634.0,ABNORMAL,100.200.243.53,145.207.42.56,29884,80
Yes,171.0,17.0,417.0,1117.0,ABNORMAL,103.79.166.54,254.138.215.181,62766,80
Yes,187.0,13.0,419.0,1677.0,ABNORMAL,230.103.24.96,101.169.87.109,65305,80
Yes,67.0,12.0,450.0,1963.0,ABNORMAL,50.57.70.44,75.148.109.253,42412,60988
Yes,708.0,20.0,352.0,1994.0,ABNORMAL,26.199.42.88,184.208.47.44,49327,80
Yes,151.0,11.0,511.0,1059.0,ABNORMAL,148.37.45.181,188.32.97.129,53789,80
Yes,247.0,12.0,528.0,1011.0,ABNORMAL,107.164.110.6,46.227.1.138,2498,80
Yes,132.0,16.0,355.0,1453.0,ABNORMAL,240.41.80.45,80.215.43.243,41096,80
Yes,666.0,14.0,536.0,1505.0,ABNORMAL,152.156.34.237,134.146.166.14,22450,80
Yes,993.0,13.0,513.0,1600.0,ABNORMAL,99.113.66.190,132.211.105.129,11646,80
Yes,656.0,19.0,410.0,1160.0,ABNORMAL,206.189.50.202,138.6.66.124,36452,29816
Yes,152.0,19.0,498.0,1567.0,ABNORMAL,14.18.74.129,109.16.247.248,60959,80
Yes,524.0,12.0,363.0,1087.0,ABNORMAL,163.240.53.144,139.144.175.106,64270,80
Yes,8.0,20.0,517.0,1606.0,ABNORMAL,1.194.96.200,2.188.74.224,53867,80
Yes,416.0,15.0,343.0,1519.0,ABNORMAL,57.198.227.179,111.65.76.52,60649,80
Yes,166.0,18.0,303.0,1675.0,ABNORMAL,200.96.69.182,95.54.195.221,22055,80
Yes,1001.0,17.0,408.0,1227.0,ABNORMAL,136.36.104.88,208.130.90.27,31297,80
Yes,96.0,16.0,322.0,1488.0,ABNORMAL,236.45.141.153,217.126.87.130,57652,80
Yes,169.0,17.0,463.0,1140.0,ABNORMAL,211.61.76.213,49.16.154.188,31324,80
Yes,318.0,15.0,353.0,1505.0,ABNORMAL,175.74.135.139,160.241.188.252,48748,59671
Yes,577.0,18.0,379.0,1842.0,ABNORMAL,87.101.42.203,184.117.60.130,61225,80
Yes,429.0,17.0,384.0,1030.0,ABNORMAL,255.120.145.229,14.249.77.25,18578,80
Yes,188.0,15.0,488.0,1156.0,ABNORMAL,21.213.59.172,232.46.90.144,61779,80
Yes,51.0,20.0,560.0,1627.0,ABNORMAL,171.146.205.68,142.31.196.245,43028,80
